dataset_id,dataset_name,ZT_mean,Random_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.9726766811170481,0.9666458312329871,ZT,5.373114423404787,2.1272716551953014e-06,True,0.6238944698461543,50
1049,pc4,0.9471723090277778,0.94162109375,ZT,4.514395019423334,3.996583315671392e-05,True,0.5895381183178596,50
1111,KDDCup09_appetency,0.807954368661043,0.7913099634162246,ZT,4.669135638896184,2.3813830500351372e-05,True,2.1033989225867353,50
1464,blood-transfusion-service-center,0.6940886939571149,0.6797685185185185,ZT,3.331156225914811,0.0016503543932540434,True,2.1066252773526037,50
1494,qsar-biodeg,0.9295392354124746,0.926672032193159,ZT,2.102440480350494,0.040675961285220136,True,0.3094086278324208,50
1510,wdbc,0.9937103174603175,0.9917691798941799,ZT,3.6759645372859726,0.0005874734574128866,True,0.19572473167039522,50
1558,bank-marketing,0.9028985402861807,0.8948609910688563,ZT,5.911732527397323,3.2000393689262597e-07,True,0.8981896962257793,50
4534,PhishingWebsites,0.9969841177738359,0.9962494404748089,ZT,3.9600616875180474,0.0002423270037046719,True,0.07374431233575822,50
23381,dresses-sales,0.5660673234811167,0.5635344827586206,ZT,0.5316170026983451,0.597393290386093,False,0.4494562089789523,50
40536,SpeedDating,0.8669066252587992,0.8612728519668739,ZT,4.061841087804652,0.0001752593558693724,True,0.6541217779080847,50
