dataset_id,dataset_name,Warm-started Optuna TPE_mean,Standard Optuna TPE_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.9092709809478822,0.9101023460872304,Standard Optuna TPE,,,False,-0.09134853271420358,1
1049,pc4,0.9077323162274618,0.908474341192788,Standard Optuna TPE,,,False,-0.08167814231847474,1
1111,KDDCup09_appetency,0.8070854139855678,0.807573989367613,Standard Optuna TPE,,,False,-0.06049914787719502,1
1464,blood-transfusion-service-center,0.7477872670807453,0.7421428571428572,Warm-started Optuna TPE,,,False,0.7605557182909803,1
1494,qsar-biodeg,0.8692904135338345,0.873062343358396,Standard Optuna TPE,,,False,-0.43203441922052327,1
1510,wdbc,0.9788648090815272,0.9793034055727552,Standard Optuna TPE,,,False,-0.044786578779586556,1
1558,bank-marketing,0.8546756761836738,0.8583125011747457,Standard Optuna TPE,,,False,-0.4237180497888898,1
4534,PhishingWebsites,0.972333341966228,0.9672833186574122,Warm-started Optuna TPE,,,False,0.5220831592366536,1
23381,dresses-sales,0.6535230179028133,0.6581649616368286,Standard Optuna TPE,,,False,-0.7052857573078573,1
40536,SpeedDating,0.8177313752424047,0.8187359001292824,Standard Optuna TPE,,,False,-0.12269217542789136,1
